#SLINE  RLINE  SOU_X  SOU_Y  REC_X  REC_Y  OFFSET  SR_AZIM  REC_ELEV  SOURCE  NODE  SRF_SLOC  FB_PICK  FB_SMTH  EVENT
25130019 366202 287352.90000 7440843.90000 291246.50000 7443049.80000 4475.05483 60.46649 100.00000 2585 84 2552 2020.53906 2020.82812 add
25130019 366202 287352.90000 7440843.90000 291235.09000 7443072.20000 4476.23950 60.14503 100.00000 2585 85 2546 2128.53125 2075.85156 add
25130019 366202 287352.90000 7440843.90000 291223.59000 7443094.30000 4477.33640 59.82649 100.00000 2585 86 2540 2075.85156 2075.85156 add
25130019 366202 287352.90000 7440843.90000 291212.40000 7443116.90000 4479.09246 59.50462 100.00000 2585 87 2534 2072.83203 2072.83203 add
25130019 366202 287352.90000 7440843.90000 291200.90000 7443139.30000 4480.62107 59.18318 100.00000 2585 88 2528 2071.45312 2071.45312 add
25130019 366202 287352.90000 7440843.90000 291188.70000 7443161.30000 4481.48462 58.86171 100.00000 2585 89 2522 2071.26562 2071.26562 add
25130019 366202 287352.90000 7440843.90000 291176.30000 7443183.10000 4482.21421 58.54123 100.00000 2585 90 2516 2071.01172 2071.26562 add
25130019 366202 287352.90000 7440843.90000 291163.50000 7443204.80000 4482.69129 58.21925 101.00000 2585 91 2510 2088.82031 2087.57031 add
25130019 366202 287352.90000 7440843.90000 291150.59000 7443226.40000 4483.16357 57.89769 100.00000 2585 92 2504 2087.57031 2087.57031 add
25130019 366202 287352.90000 7440843.90000 291137.90000 7443247.90000 4483.90912 57.57879 100.00000 2585 93 2498 2086.97266 2086.97266 add
25130019 366202 287352.90000 7440843.90000 291126.20000 7443270.00000 4485.95075 57.26040 100.00000 2585 94 2492 2086.77344 2086.97266 add
25130019 366202 287352.90000 7440843.90000 291114.40000 7443292.00000 4487.99241 56.94268 100.00000 2585 95 2486 2086.97266 2086.97266 add
25130019 366202 287352.90000 7440843.90000 291103.20000 7443314.30000 4490.83803 56.62628 100.00000 2585 96 2480 2087.04297 2087.04297 add
25130019 366202 287352.90000 7440843.90000 291091.50000 7443336.40000 4493.29347 56.30887 100.00000 2585 97 2474 2088.05859 2088.05859 add
25130019 366202 287352.90000 7440843.90000 291079.50000 7443358.20000 4495.47017 55.99285 101.00000 2585 98 2468 2090.10938 2090.10938 add
25130019 366202 287352.90000 7440843.90000 291067.30000 7443380.20000 4497.73110 55.67361 101.00000 2585 99 2462 2090.14062 2090.10938 add
25130019 366202 287352.90000 7440843.90000 291054.70000 7443402.00000 4499.68875 55.35389 101.00000 2585 100 2456 2090.08203 2090.14062 add
25130019 366202 287352.90000 7440843.90000 291042.00000 7443423.60000 4501.58982 55.03582 101.00000 2585 101 2450 2091.30859 2090.08203 add
25130019 366202 287352.90000 7440843.90000 291029.20000 7443445.00000 4503.43235 54.71937 101.00000 2585 102 2444 2089.60156 2089.60156 add
25130019 366202 287352.90000 7440843.90000 291016.00000 7443466.50000 4505.14510 54.39919 101.00000 2585 103 2438 2088.70312 2088.70312 add
25130019 366202 287352.90000 7440843.90000 291002.70000 7443487.70000 4506.74145 54.08161 101.00000 2585 104 2432 2088.48047 2088.70312 add
25130019 366202 287352.90000 7440843.90000 290989.30000 7443508.80000 4508.33639 53.76454 101.00000 2585 105 2426 2089.24219 2089.24219 add
25130019 366202 287352.90000 7440843.90000 290976.50000 7443530.50000 4510.90861 53.44612 101.00000 2585 106 2420 2090.66797 2090.66797 add
25130019 366202 287352.90000 7440843.90000 290964.40000 7443552.20000 4514.18001 53.13340 101.00000 2585 107 2414 2092.92969 2092.92969 add
25130019 366202 287352.90000 7440843.90000 290952.59000 7443574.40000 4518.11889 52.81832 101.00000 2585 108 2408 2094.71875 2094.71875 add
25130019 366202 287352.90000 7440843.90000 290940.40000 7443596.40000 4521.77095 52.50287 101.00000 2585 109 2402 2096.21875 2096.21875 add
25130019 366202 287352.90000 7440843.90000 290927.90000 7443618.10000 4525.13101 52.18854 101.00000 2585 110 2396 2098.23828 2098.23828 add
25130019 366202 287352.90000 7440843.90000 290915.59000 7443639.90000 4528.83827 51.87517 101.00000 2585 111 2390 2100.65625 2100.65625 add
25130019 366202 287352.90000 7440843.90000 290903.20000 7443661.40000 4532.43161 51.56466 102.00000 2585 112 2384 2103.45703 2103.45703 add
25130019 366202 287352.90000 7440843.90000 290890.50000 7443683.10000 4536.04127 51.25024 101.00000 2585 113 2378 2105.27734 2105.27734 add
25130019 366202 287352.90000 7440843.90000 290877.70000 7443704.70000 4539.64665 50.93651 101.00000 2585 114 2372 2106.75000 2106.75000 add
25130019 366202 287352.90000 7440843.90000 290864.50000 7443726.00000 4542.88840 50.62301 101.00000 2585 115 2366 2107.72266 2107.72266 add
25130019 366202 287352.90000 7440843.90000 290851.20000 7443747.10000 4546.06128 50.31110 101.00000 2585 116 2360 2108.74219 2108.74219 add
25130019 366202 287352.90000 7440843.90000 290838.00000 7443768.30000 4549.50957 49.99948 101.00000 2585 117 2354 2108.95703 2108.95703 add
25130019 366202 287352.90000 7440843.90000 290825.00000 7443789.80000 4553.43883 49.68709 101.00000 2585 118 2348 2110.76562 2110.76562 add
25130019 366202 287352.90000 7440843.90000 290813.00000 7443811.80000 4558.58777 49.37867 101.00000 2585 119 2342 2111.78516 2111.78516 add
25130019 366202 287352.90000 7440843.90000 290801.40000 7443833.90000 4564.23622 49.07328 101.00000 2574 120 2336 2113.58594 2113.58594 add
25130019 366202 287352.90000 7440843.90000 290789.50000 7443856.00000 4569.78839 48.76619 101.00000 2585 121 2330 2115.30859 2115.30859 add
25130019 366202 287352.90000 7440843.90000 290777.50000 7443878.00000 4575.33037 48.45995 101.00000 2585 122 2324 2117.47266 2117.47266 add
25130019 366202 287352.90000 7440843.90000 290765.20000 7443900.10000 4580.84596 48.15103 101.00000 2585 123 2318 2118.96484 2118.96484 add
25130019 366202 287352.90000 7440843.90000 290753.09000 7443922.00000 4586.50102 47.84631 101.00000 2585 124 2312 2120.78125 2120.78125 add
25130019 366202 287352.90000 7440843.90000 290740.50000 7443943.80000 4591.86387 47.53922 101.00000 2585 125 2306 2123.09766 2123.09766 add
25130019 366202 287352.90000 7440843.90000 290727.90000 7443965.20000 4597.07937 47.23644 101.00000 2585 126 2300 2125.61328 2125.61328 add
25130019 366202 287352.90000 7440843.90000 290715.09000 7443986.80000 4602.40611 46.93074 101.00000 2585 127 2294 2161.74219 2161.74219 add
25130019 366202 287352.90000 7440843.90000 290702.09000 7444008.10000 4607.51943 46.62685 101.00000 2585 128 2288 2163.72266 2163.72266 add
25130019 366202 287352.90000 7440843.90000 290689.20000 7444029.60000 4612.97975 46.32279 101.00000 2585 129 2282 2165.62891 2165.62891 add
25130019 366202 287352.90000 7440843.90000 290676.30000 7444051.00000 4618.49304 46.02026 101.00000 2585 130 2276 2167.54688 2167.54688 add
25130019 366202 287352.90000 7440843.90000 290663.50000 7444072.50000 4624.27619 45.71844 102.00000 2585 131 2270 2169.68359 2169.68359 add
25130019 366202 287352.90000 7440843.90000 290651.00000 7444094.30000 4630.61160 45.41734 102.00000 2585 132 2264 2172.06250 2172.06250 add
25130019 366202 287352.90000 7440843.90000 290638.70000 7444116.00000 4637.14568 45.11970 102.00000 2585 133 2258 2174.48828 2174.48828 add
25130019 366202 287352.90000 7440843.90000 290626.30000 7444137.90000 4643.87592 44.82028 102.00000 2585 134 2252 2176.72266 2174.48828 add
25130019 366202 287352.90000 7440843.90000 290614.00000 7444159.90000 4650.87403 44.52175 102.00000 2585 135 2246 134.92972 2176.72266 add
25130019 366202 287352.90000 7440843.90000 290601.20000 7444181.40000 4657.29097 44.22402 102.00000 2585 136 2240 2181.13281 2181.13281 add
25130019 366202 287352.90000 7440843.90000 290588.50000 7444203.00000 4663.97472 43.92714 102.00000 2585 137 2234 2183.64453 2183.64453 add
25130019 366202 287352.90000 7440843.90000 290576.00000 7444224.40000 4670.77658 43.63459 102.00000 2585 138 2228 2186.14062 2186.14062 add
25130019 366202 287352.90000 7440843.90000 290563.20000 7444246.00000 4677.63942 43.33854 102.00000 2585 139 2222 2188.53955 2186.14062 add
25130019 366202 287352.90000 7440843.90000 290550.30000 7444267.70000 4684.63160 43.04164 102.00000 2585 140 2216 3.40000 3.40000 add
25130019 366202 287352.90000 7440843.90000 290537.50000 7444289.20000 4691.67020 42.74818 102.00000 2585 141 2210 3.20000 3.40000 add
25130019 366202 287352.90000 7440843.90000 290524.70000 7444310.70000 4698.83150 42.45562 102.00000 2585 142 2204 2194.44922 2194.44922 add
25130019 366202 287352.90000 7440843.90000 290511.90000 7444332.30000 4706.18907 42.16313 102.00000 2585 143 2198 2194.76953 2194.76953 add
25130019 366202 287352.90000 7440843.90000 290499.20000 7444353.90000 4713.73564 41.87247 102.00000 2585 144 2192 2233.27344 2233.27344 add
25130019 366202 287352.90000 7440843.90000 290487.20000 7444375.90000 4722.16693 41.58588 102.00000 2585 145 2186 2236.33203 2236.33203 add
25130019 366202 287352.90000 7440843.90000 290475.09000 7444397.80000 4730.56821 41.30011 102.00000 2585 146 2180 2239.42188 2239.42188 add
25130019 366202 287352.90000 7440843.90000 290462.70000 7444419.60000 4738.82755 41.01361 102.00000 2585 147 2174 2241.43359 2241.43359 add
25130019 366202 287352.90000 7440843.90000 290450.50000 7444441.70000 4747.55628 40.72748 102.00000 2585 148 2168 2243.12500 2241.43359 add
25130019 366202 287352.90000 7440843.90000 290438.20000 7444463.50000 4756.10978 40.44384 102.00000 2585 149 2162 2208.45703 2210.30859 add
25130019 366202 287352.90000 7440843.90000 290425.70000 7444485.10000 4764.49759 40.16094 102.00000 2585 150 2156 2210.30859 2210.30859 add
25130019 366202 287352.90000 7440843.90000 290412.80000 7444506.60000 4772.66794 39.87612 102.00000 2585 151 2150 2211.86719 2211.86719 add
25130019 366202 287352.90000 7440843.90000 290399.90000 7444528.10000 4780.95583 39.59229 102.00000 2521 152 2144 2215.68750 2215.68750 add
25130019 366202 287352.90000 7440843.90000 290386.80000 7444549.70000 4789.31131 39.30683 102.00000 2585 153 2138 2218.44922 2218.44922 add
25130019 366202 287352.90000 7440843.90000 290373.80000 7444571.20000 4797.77053 39.02406 102.00000 2585 154 2132 2259.77344 2259.77344 add
25130019 366202 287352.90000 7440843.90000 290360.70000 7444592.70000 4806.28362 38.74135 102.00000 2585 155 2126 2262.71094 2262.71094 add
25130019 366202 287352.90000 7440843.90000 290348.40000 7444614.50000 4815.64581 38.46489 102.00000 2585 156 2120 2265.93359 2265.93359 add
25130019 366202 287352.90000 7440843.90000 290336.40000 7444636.70000 4825.61956 38.18937 102.00000 2585 157 2114 2295.12500 2265.93359 add
25130019 366202 287352.90000 7440843.90000 290324.30000 7444658.30000 4835.16963 37.91843 102.00000 2585 158 2108 2232.57422 2232.57422 add
25130019 366202 287352.90000 7440843.90000 290311.90000 7444680.30000 4844.96088 37.64286 103.00000 2585 159 2102 101.69135 138.01949 add
25130019 366202 287352.90000 7440843.90000 290299.70000 7444702.30000 4854.98515 37.37028 103.00000 2585 160 2096 138.01949 138.01949 add
25130019 366202 287352.90000 7440843.90000 290287.50000 7444724.30000 4865.11884 37.09884 103.00000 2585 161 2090 145.44135 145.44135 add
25130019 366202 287352.90000 7440843.90000 290275.20000 7444745.90000 4874.98116 36.83041 103.00000 2585 162 2084 163.66409 163.66409 add
25130019 366202 287352.90000 7440843.90000 290262.40000 7444767.40000 4884.57189 36.55905 103.00000 2585 163 2078 2249.40625 2249.40625 add
25130019 366202 287352.90000 7440843.90000 290249.50000 7444788.70000 4894.05135 36.28921 103.00000 2585 164 2072 2252.69531 2252.69531 add
25130019 366202 287352.90000 7440843.90000 290236.09000 7444810.20000 4903.50082 36.01422 103.00000 2585 165 2066 2256.19141 2256.19141 add
25130019 366202 287352.90000 7440843.90000 290222.90000 7444831.50000 4913.02898 35.74374 103.00000 2585 166 2060 2259.58203 2259.58203 add
25130019 366202 287352.90000 7440843.90000 290210.80000 7444853.40000 4923.78743 35.48059 103.00000 2585 167 2054 2263.47266 2263.47266 add
25130019 366202 287352.90000 7440843.90000 290199.20000 7444875.60000 4935.18273 35.22133 103.00000 2585 168 2048 2367.24414 2367.24414 add
25130019 366202 287352.90000 7440843.90000 290187.90000 7444898.00000 4947.01443 34.96479 103.00000 2585 169 2042 2369.16797 2367.24414 add
25130019 366202 287352.90000 7440843.90000 290176.40000 7444920.20000 4958.66655 34.70889 103.00000 2585 170 2036 2358.83594 2362.47266 add
25130019 366202 287352.90000 7440843.90000 290164.80000 7444942.00000 4970.03071 34.45586 103.00000 2585 171 2030 2362.47266 2358.83594 add
25130019 366202 287352.90000 7440843.90000 290152.59000 7444964.00000 4981.31389 34.19689 103.00000 2585 172 2024 106.91800 115.21489 add
25130019 366202 287352.90000 7440843.90000 290140.00000 7444985.70000 4992.23734 33.93740 103.00000 2585 173 2018 115.21489 115.21489 add
25130019 366202 287352.90000 7440843.90000 290127.50000 7445007.50000 5003.39586 33.67927 103.00000 2585 174 2012 149.66409 115.21489 add
25130019 366202 287352.90000 7440843.90000 290115.00000 7445029.20000 5014.57202 33.42292 103.00000 2585 175 2006 101.46489 149.66409 add
25130019 366202 287352.90000 7440843.90000 290102.50000 7445050.90000 5025.84810 33.16772 103.00000 2585 176 2000 2296.43750 2296.43750 add
25130019 366202 287352.90000 7440843.90000 290089.90000 7445072.60000 5037.16911 32.91271 103.00000 2585 177 1994 2301.15625 2301.15625 add
25130019 366202 287352.90000 7440843.90000 290077.09000 7445094.40000 5048.56033 32.65624 103.00000 2585 178 1988 2302.27490 2301.15625 add
25130019 366202 287352.90000 7440843.90000 290064.40000 7445115.80000 5059.77884 32.40449 103.00000 2585 179 1982 3.80000 3.80000 add
25130019 366202 287352.90000 7440843.90000 290051.90000 7445137.70000 5071.61902 32.15268 103.00000 2585 180 1976 3.60000 3.80000 add
25130019 366202 287352.90000 7440843.90000 290039.20000 7445159.40000 5083.28122 31.90132 103.00000 2585 181 1970 16.60001 4.20000 add
25130019 366202 287352.90000 7440843.90000 290026.50000 7445181.10000 5095.04080 31.65112 103.00000 2585 182 1964 4.20000 16.60001 add
25130019 366202 287352.90000 7440843.90000 290014.00000 7445203.00000 5107.17202 31.40282 103.00000 2585 183 1958 2321.69922 2321.69922 add
25130019 366202 287352.90000 7440843.90000 290001.50000 7445224.80000 5119.31312 31.15628 103.00000 2585 184 1952 2325.70703 2325.70703 add
